dataset,scope_dataset,global_pca,seed,layer,eps,cc,tag,mode,k_selected,selection_reason,top_components_considered,corr_score_vs_delta_margin,n_vectors,cos_mean,cos_median,cos_p25,cos_p75,pca_path,fig_path,perturbation_type
bbq,global,True,42,14,0.5,ambig,separate,rejected,6,per_dataset_top10_max_abs_corr_delta_margin,"0,1,2,3,4,5,6,7,8,9",0.36867335111195726,200,0.13790103793144226,0.142511248588562,0.0850079208612442,0.19082888960838318,results/outputs/global_verify_components/pca/pca_global_train_seed42_layer14_eps0.5_k10_ambig_separate_rejected_n950.pt,results/analysis/global_highest_margin_component_alignment_sweep/figs/bbq__scope-global__ptype-separate__seed42__layer14__eps0.5__ambig__rejected__k6.png,separate
bbq,global,True,42,14,0.5,ambig,separate,chosen,7,per_dataset_top10_max_abs_corr_delta_margin,"0,1,2,3,4,5,6,7,8,9",-0.35889071875585643,200,0.10496719181537628,0.0977654978632927,0.040162235498428345,0.15371660888195038,results/outputs/global_verify_components/pca/pca_global_train_seed42_layer14_eps0.5_k10_ambig_separate_chosen_n950.pt,results/analysis/global_highest_margin_component_alignment_sweep/figs/bbq__scope-global__ptype-separate__seed42__layer14__eps0.5__ambig__chosen__k7.png,separate
bbq,global,True,42,14,0.5,ambig,shared_flip,chosen,3,per_dataset_top10_max_abs_corr_delta_margin,"0,1,2,3,4,5,6,7,8,9",0.44517053408996815,200,0.07930295914411545,0.06459353119134903,0.035155877470970154,0.10866289585828781,results/outputs/global_verify_components/pca/pca_global_train_seed42_layer14_eps0.5_k10_ambig_shared_flip_chosen_n950.pt,results/analysis/global_highest_margin_component_alignment_sweep/figs/bbq__scope-global__ptype-shared_flip__seed42__layer14__eps0.5__ambig__chosen__k3.png,shared_flip
bbq,global,True,42,14,0.5,ambig,shared_flip,rejected,7,per_dataset_top10_max_abs_corr_delta_margin,"0,1,2,3,4,5,6,7,8,9",0.315867657170525,200,0.11086470633745193,0.10568366199731827,0.059626609086990356,0.16360074281692505,results/outputs/global_verify_components/pca/pca_global_train_seed42_layer14_eps0.5_k10_ambig_shared_flip_rejected_n950.pt,results/analysis/global_highest_margin_component_alignment_sweep/figs/bbq__scope-global__ptype-shared_flip__seed42__layer14__eps0.5__ambig__rejected__k7.png,shared_flip
bbq,global,True,42,14,0.5,ambig,shared_noflip,chosen,0,per_dataset_top10_max_abs_corr_delta_margin,"0,1,2,3,4,5,6,7,8,9",-0.5244699678610778,200,0.4840918481349945,0.5673724412918091,0.28126436471939087,0.6729759573936462,results/outputs/global_verify_components/pca/pca_global_train_seed42_layer14_eps0.5_k10_ambig_shared_noflip_chosen_n950.pt,results/analysis/global_highest_margin_component_alignment_sweep/figs/bbq__scope-global__ptype-shared_noflip__seed42__layer14__eps0.5__ambig__chosen__k0.png,shared_noflip
bbq,global,True,42,14,0.5,ambig,shared_noflip,rejected,5,per_dataset_top10_max_abs_corr_delta_margin,"0,1,2,3,4,5,6,7,8,9",0.633254831368568,200,0.18510334193706512,0.13176730275154114,0.06866791099309921,0.3073347210884094,results/outputs/global_verify_components/pca/pca_global_train_seed42_layer14_eps0.5_k10_ambig_shared_noflip_rejected_n950.pt,results/analysis/global_highest_margin_component_alignment_sweep/figs/bbq__scope-global__ptype-shared_noflip__seed42__layer14__eps0.5__ambig__rejected__k5.png,shared_noflip
gsm_mc,global,True,42,14,0.5,ambig,separate,rejected,3,per_dataset_top10_max_abs_corr_delta_margin,"0,1,2,3,4,5,6,7,8,9",-0.4296473652408704,200,0.09806480258703232,0.08879733830690384,0.041968934237957,0.13837721943855286,results/outputs/global_verify_components/pca/pca_global_train_seed42_layer14_eps0.5_k10_ambig_separate_rejected_n950.pt,results/analysis/global_highest_margin_component_alignment_sweep/figs/gsm_mc__scope-global__ptype-separate__seed42__layer14__eps0.5__ambig__rejected__k3.png,separate
gsm_mc,global,True,42,14,0.5,ambig,separate,chosen,6,per_dataset_top10_max_abs_corr_delta_margin,"0,1,2,3,4,5,6,7,8,9",-0.514235349334982,200,0.10499370843172073,0.10728465020656586,0.07503807544708252,0.13479091227054596,results/outputs/global_verify_components/pca/pca_global_train_seed42_layer14_eps0.5_k10_ambig_separate_chosen_n950.pt,results/analysis/global_highest_margin_component_alignment_sweep/figs/gsm_mc__scope-global__ptype-separate__seed42__layer14__eps0.5__ambig__chosen__k6.png,separate
gsm_mc,global,True,42,14,0.5,ambig,shared_flip,chosen,3,per_dataset_top10_max_abs_corr_delta_margin,"0,1,2,3,4,5,6,7,8,9",0.2897711328843577,200,0.11288393288850784,0.10572804510593414,0.06041745841503143,0.15230527520179749,results/outputs/global_verify_components/pca/pca_global_train_seed42_layer14_eps0.5_k10_ambig_shared_flip_chosen_n950.pt,results/analysis/global_highest_margin_component_alignment_sweep/figs/gsm_mc__scope-global__ptype-shared_flip__seed42__layer14__eps0.5__ambig__chosen__k3.png,shared_flip
gsm_mc,global,True,42,14,0.5,ambig,shared_flip,rejected,3,per_dataset_top10_max_abs_corr_delta_margin,"0,1,2,3,4,5,6,7,8,9",-0.46585767720662624,200,0.15066373348236084,0.14774879813194275,0.05477144569158554,0.22083815932273865,results/outputs/global_verify_components/pca/pca_global_train_seed42_layer14_eps0.5_k10_ambig_shared_flip_rejected_n950.pt,results/analysis/global_highest_margin_component_alignment_sweep/figs/gsm_mc__scope-global__ptype-shared_flip__seed42__layer14__eps0.5__ambig__rejected__k3.png,shared_flip
gsm_mc,global,True,42,14,0.5,ambig,shared_noflip,chosen,0,per_dataset_top10_max_abs_corr_delta_margin,"0,1,2,3,4,5,6,7,8,9",-0.6684897626738681,200,0.5266987085342407,0.7080305814743042,0.1379605233669281,0.818902850151062,results/outputs/global_verify_components/pca/pca_global_train_seed42_layer14_eps0.5_k10_ambig_shared_noflip_chosen_n950.pt,results/analysis/global_highest_margin_component_alignment_sweep/figs/gsm_mc__scope-global__ptype-shared_noflip__seed42__layer14__eps0.5__ambig__chosen__k0.png,shared_noflip
gsm_mc,global,True,42,14,0.5,ambig,shared_noflip,rejected,0,per_dataset_top10_max_abs_corr_delta_margin,"0,1,2,3,4,5,6,7,8,9",-0.6615358345588579,200,0.5480223298072815,0.7080086469650269,0.2516263723373413,0.784770667552948,results/outputs/global_verify_components/pca/pca_global_train_seed42_layer14_eps0.5_k10_ambig_shared_noflip_rejected_n950.pt,results/analysis/global_highest_margin_component_alignment_sweep/figs/gsm_mc__scope-global__ptype-shared_noflip__seed42__layer14__eps0.5__ambig__rejected__k0.png,shared_noflip
math_mc,global,True,42,14,0.5,ambig,separate,rejected,5,per_dataset_top10_max_abs_corr_delta_margin,"0,1,2,3,4,5,6,7,8,9",0.29577042691764366,200,0.11676611006259918,0.11401636898517609,0.06219881400465965,0.1707814335823059,results/outputs/global_verify_components/pca/pca_global_train_seed42_layer14_eps0.5_k10_ambig_separate_rejected_n950.pt,results/analysis/global_highest_margin_component_alignment_sweep/figs/math_mc__scope-global__ptype-separate__seed42__layer14__eps0.5__ambig__rejected__k5.png,separate
