dataset,scope_dataset,global_pca,seed,layer,eps,cc,tag,mode,k_selected,selection_reason,top_components_considered,corr_score_vs_delta_margin,n_vectors,cos_mean,cos_median,cos_p25,cos_p75,pca_path,fig_path,perturbation_type
bbq,global,True,42,14,0.5,ambig,separate,chosen,0,top5_by_explained_variance,"0,1,2,3,4",0.16443598885753624,15,0.21679265797138214,0.1921153962612152,0.15904183685779572,0.27794262766838074,results/outputs/global_verify_components/pca/pca_global_train_seed42_layer14_eps0.5_k10_ambig_separate_chosen_n15.pt,results/analysis/global_topN_component_alignment_sweep/figs/bbq__scope-global__ptype-separate__seed42__layer14__eps0.5__ambig__chosen__k0.png,separate
bbq,global,True,42,14,0.5,ambig,separate,chosen,0,top5_by_explained_variance,"0,1,2,3,4",-0.09270718379310951,200,0.20238834619522095,0.20095831155776978,0.1275033801794052,0.2708413004875183,results/outputs/global_verify_components/pca/pca_global_train_seed42_layer14_eps0.5_k10_ambig_separate_chosen_n200.pt,results/analysis/global_topN_component_alignment_sweep/figs/bbq__scope-global__ptype-separate__seed42__layer14__eps0.5__ambig__chosen__k0.png,separate
bbq,global,True,42,14,0.5,ambig,separate,chosen,0,top5_by_explained_variance,"0,1,2,3,4",0.1612720706615129,200,0.3101801574230194,0.3172033429145813,0.22947156429290771,0.39432668685913086,results/outputs/global_verify_components/pca/pca_global_train_seed42_layer14_eps0.5_k10_ambig_separate_chosen_n400.pt,results/analysis/global_topN_component_alignment_sweep/figs/bbq__scope-global__ptype-separate__seed42__layer14__eps0.5__ambig__chosen__k0.png,separate
bbq,global,True,42,14,0.5,ambig,separate,chosen,0,top5_by_explained_variance,"0,1,2,3,4",0.13785858739821458,200,0.3437443673610687,0.3475293517112732,0.2702152729034424,0.42573124170303345,results/outputs/global_verify_components/pca/pca_global_train_seed42_layer14_eps0.5_k10_ambig_separate_chosen_n600.pt,results/analysis/global_topN_component_alignment_sweep/figs/bbq__scope-global__ptype-separate__seed42__layer14__eps0.5__ambig__chosen__k0.png,separate
bbq,global,True,42,14,0.5,ambig,separate,chosen,0,top5_by_explained_variance,"0,1,2,3,4",0.12679982964481443,200,0.3350498676300049,0.3385588526725769,0.26734262704849243,0.4133961498737335,results/outputs/global_verify_components/pca/pca_global_train_seed42_layer14_eps0.5_k10_ambig_separate_chosen_n800.pt,results/analysis/global_topN_component_alignment_sweep/figs/bbq__scope-global__ptype-separate__seed42__layer14__eps0.5__ambig__chosen__k0.png,separate
bbq,global,True,42,14,0.5,ambig,separate,chosen,0,top5_by_explained_variance,"0,1,2,3,4",0.10580824383165147,200,0.10026517510414124,0.07949869334697723,0.03206265717744827,0.16374549269676208,results/outputs/global_verify_components/pca/pca_global_train_seed42_layer14_eps0.5_k10_ambig_separate_chosen_n950.pt,results/analysis/global_topN_component_alignment_sweep/figs/bbq__scope-global__ptype-separate__seed42__layer14__eps0.5__ambig__chosen__k0.png,separate
bbq,global,True,42,14,0.5,ambig,separate,rejected,0,top5_by_explained_variance,"0,1,2,3,4",-0.12691359328810248,15,0.15015023946762085,0.17512308061122894,0.09438009560108185,0.21833883225917816,results/outputs/global_verify_components/pca/pca_global_train_seed42_layer14_eps0.5_k10_ambig_separate_rejected_n15.pt,results/analysis/global_topN_component_alignment_sweep/figs/bbq__scope-global__ptype-separate__seed42__layer14__eps0.5__ambig__rejected__k0.png,separate
bbq,global,True,42,14,0.5,ambig,separate,rejected,0,top5_by_explained_variance,"0,1,2,3,4",-0.3324439208239888,200,0.13227874040603638,0.11318549513816833,0.0629882663488388,0.19409899413585663,results/outputs/global_verify_components/pca/pca_global_train_seed42_layer14_eps0.5_k10_ambig_separate_rejected_n200.pt,results/analysis/global_topN_component_alignment_sweep/figs/bbq__scope-global__ptype-separate__seed42__layer14__eps0.5__ambig__rejected__k0.png,separate
bbq,global,True,42,14,0.5,ambig,separate,rejected,0,top5_by_explained_variance,"0,1,2,3,4",0.18669544659634654,200,0.29292941093444824,0.2973778545856476,0.2655230760574341,0.33160093426704407,results/outputs/global_verify_components/pca/pca_global_train_seed42_layer14_eps0.5_k10_ambig_separate_rejected_n400.pt,results/analysis/global_topN_component_alignment_sweep/figs/bbq__scope-global__ptype-separate__seed42__layer14__eps0.5__ambig__rejected__k0.png,separate
bbq,global,True,42,14,0.5,ambig,separate,rejected,0,top5_by_explained_variance,"0,1,2,3,4",0.1340499327729092,200,0.3732312023639679,0.37274065613746643,0.3496014177799225,0.403452068567276,results/outputs/global_verify_components/pca/pca_global_train_seed42_layer14_eps0.5_k10_ambig_separate_rejected_n600.pt,results/analysis/global_topN_component_alignment_sweep/figs/bbq__scope-global__ptype-separate__seed42__layer14__eps0.5__ambig__rejected__k0.png,separate
bbq,global,True,42,14,0.5,ambig,separate,rejected,0,top5_by_explained_variance,"0,1,2,3,4",0.014287112792292812,200,0.32123643159866333,0.32083702087402344,0.29847395420074463,0.3460739254951477,results/outputs/global_verify_components/pca/pca_global_train_seed42_layer14_eps0.5_k10_ambig_separate_rejected_n800.pt,results/analysis/global_topN_component_alignment_sweep/figs/bbq__scope-global__ptype-separate__seed42__layer14__eps0.5__ambig__rejected__k0.png,separate
bbq,global,True,42,14,0.5,ambig,separate,rejected,0,top5_by_explained_variance,"0,1,2,3,4",0.1993257686876956,200,0.24245677888393402,0.25645309686660767,0.19510221481323242,0.2992512285709381,results/outputs/global_verify_components/pca/pca_global_train_seed42_layer14_eps0.5_k10_ambig_separate_rejected_n950.pt,results/analysis/global_topN_component_alignment_sweep/figs/bbq__scope-global__ptype-separate__seed42__layer14__eps0.5__ambig__rejected__k0.png,separate
